Código do Município,Município,Mês/ano,Estoque_mar,Estoque_abri,Estoque_diff,Admissões_mar,Admissões_abri,Admissões_diff,Desligamentos_mar,Desligamentos_abri,Desligamentos_diff,Saldos_mar,Saldos_abri,Saldos_diff
230030,Acopiara,04/2023,1779,1332,-447,26,36,10,23,24,1,3,12,9
230030,Acopiara,04/2024,1861,1423,-438,48,49,1,51,51,0,-3,-2,1
230030,Acopiara,04/2025,1842,1409,-433,32,32,0,53,53,0,-21,-21,0
230030,Acopiara,05/2020,1583,1056,-527,9,9,0,17,20,3,-8,-11,-3
230030,Acopiara,05/2021,1632,1102,-530,14,16,2,27,32,5,-13,-16,-3
230030,Acopiara,05/2022,1668,1208,-460,29,29,0,19,19,0,10,10,0
230030,Acopiara,05/2023,1780,1335,-445,30,39,9,29,36,7,1,3,2
230030,Acopiara,05/2024,1883,1447,-436,57,57,0,35,33,-2,22,24,2
230030,Acopiara,05/2025,1846,1411,-435,37,37,0,33,35,2,4,2,-2
230030,Acopiara,06/2020,1573,1045,-528,4,4,0,14,15,1,-10,-11,-1
230030,Acopiara,06/2021,1626,1096,-530,23,23,0,29,29,0,-6,-6,0
230030,Acopiara,06/2022,1663,1202,-461,17,17,0,22,23,1,-5,-6,-1
230030,Acopiara,06/2023,1811,1366,-445,60,61,1,29,30,1,31,31,0
230030,Acopiara,06/2024,1896,1459,-437,42,42,0,29,30,1,13,12,-1
230030,Acopiara,06/2025,1845,1411,-434,36,37,1,37,37,0,-1,0,1
230030,Acopiara,07/2020,1582,1055,-527,26,27,1,17,17,0,9,10,1
230030,Acopiara,07/2021,1603,1072,-531,10,10,0,33,34,1,-23,-24,-1
230030,Acopiara,07/2022,1659,1198,-461,25,25,0,29,29,0,-4,-4,0
230030,Acopiara,07/2023,1811,1367,-444,23,27,4,23,26,3,0,1,1
230030,Acopiara,07/2024,1913,1474,-439,35,35,0,18,20,2,17,15,-2
230030,Acopiara,07/2025,1844,1409,-435,36,36,0,37,38,1,-1,-2,-1
230030,Acopiara,08/2020,1587,1059,-528,20,20,0,15,16,1,5,4,-1
230030,Acopiara,08/2021,1615,1085,-530,26,28,2,14,15,1,12,13,1
230030,Acopiara,08/2022,1682,1227,-455,45,51,6,22,22,0,23,29,6
230030,Acopiara,08/2023,1822,1380,-442,30,32,2,19,19,0,11,13,2
230030,Acopiara,08/2024,1920,1481,-439,52,52,0,45,45,0,7,7,0
230030,Acopiara,08/2025,1840,1405,-435,35,35,0,39,39,0,-4,-4,0
230030,Acopiara,09/2020,1601,1074,-527,25,28,3,11,13,2,14,15,1
230030,Acopiara,09/2021,1622,1091,-531,22,25,3,15,19,4,7,6,-1
230030,Acopiara,09/2022,1697,1243,-454,34,36,2,19,20,1,15,16,1
230030,Acopiara,09/2023,1813,1369,-444,16,16,0,25,27,2,-9,-11,-2
230030,Acopiara,09/2024,1917,1479,-438,27,27,0,30,29,-1,-3,-2,1
230030,Acopiara,09/2025,1858,1424,-434,46,46,0,28,27,-1,18,19,1
230030,Acopiara,10/2020,1603,1075,-528,19,19,0,17,18,1,2,1,-1
230030,Acopiara,10/2021,1633,1099,-534,18,17,-1,7,9,2,11,8,-3
230030,Acopiara,10/2022,1707,1253,-454,38,38,0,28,28,0,10,10,0
230030,Acopiara,10/2023,1806,1359,-447,24,24,0,31,34,3,-7,-10,-3
230030,Acopiara,10/2024,1913,1475,-438,46,46,0,50,50,0,-4,-4,0
230030,Acopiara,10/2025,1872,1438,-434,48,48,0,34,34,0,14,14,0
230030,Acopiara,11/2020,1610,1083,-527,20,21,1,13,13,0,7,8,1
230030,Acopiara,11/2021,1631,1120,-511,18,42,24,20,21,1,-2,21,23
230030,Acopiara,11/2022,1726,1272,-454,39,41,2,20,22,2,19,19,0
230030,Acopiara,11/2023,1829,1382,-447,50,50,0,27,27,0,23,23,0
230030,Acopiara,11/2024,1917,1483,-434,45,45,0,41,37,-4,4,8,4
230030,Acopiara,11/2025,1866,1431,-435,22,22,0,28,29,1,-6,-7,-1
230030,Acopiara,12/2020,1612,1083,-529,12,12,0,10,12,2,2,0,-2
230030,Acopiara,12/2021,1612,1101,-511,10,11,1,29,30,1,-19,-19,0
230030,Acopiara,12/2022,1730,1275,-455,26,26,0,22,23,1,4,3,-1
230030,Acopiara,12/2023,1836,1388,-448,35,35,0,28,29,1,7,6,-1
230030,Acopiara,12/2024,1896,1462,-434,26,26,0,47,47,0,-21,-21,0
230030,Acopiara,12/2025,1858,1433,-425,19,29,10,27,27,0,-8,2,10
230040,Aiuaba,01/2020,772,68,-704,3,3,0,1,1,0,2,2,0
230040,Aiuaba,01/2021,765,62,-703,0,0,0,0,1,1,0,-1,-1
230040,Aiuaba,01/2022,787,82,-705,0,0,0,5,6,1,-5,-6,-1
230040,Aiuaba,01/2023,779,74,-705,2,2,0,1,1,0,1,1,0
230040,Aiuaba,01/2024,787,81,-706,2,2,0,2,2,0,0,0,0
230040,Aiuaba,01/2025,788,80,-708,5,5,0,3,4,1,2,1,-1
230040,Aiuaba,01/2026,810,106,-704,0,4,4,4,4,0,-4,0,4
230040,Aiuaba,02/2020,766,63,-703,1,2,1,7,7,0,-6,-5,1
230040,Aiuaba,02/2021,767,63,-704,2,2,0,0,1,1,2,1,-1
230040,Aiuaba,02/2022,784,79,-705,0,0,0,3,3,0,-3,-3,0
230040,Aiuaba,02/2023,779,74,-705,1,1,0,1,1,0,0,0,0
230040,Aiuaba,02/2024,782,76,-706,2,2,0,7,7,0,-5,-5,0
230040,Aiuaba,02/2025,784,76,-708,2,2,0,6,6,0,-4,-4,0
230040,Aiuaba,02/2026,810,106,-704,4,4,0,4,4,0,0,0,0
230040,Aiuaba,03/2020,765,62,-703,0,0,0,1,1,0,-1,-1,0
230040,Aiuaba,03/2021,770,66,-704,4,4,0,1,1,0,3,3,0
230040,Aiuaba,03/2022,785,80,-705,2,2,0,1,1,0,1,1,0
230040,Aiuaba,03/2023,780,75,-705,1,1,0,0,0,0,1,1,0
230040,Aiuaba,03/2024,783,77,-706,2,2,0,1,1,0,1,1,0
230040,Aiuaba,03/2025,787,79,-708,4,4,0,1,1,0,3,3,0
230040,Aiuaba,03/2026,810,106,-704,4,4,0,4,4,0,0,0,0
230040,Aiuaba,04/2020,764,61,-703,0,0,0,1,1,0,-1,-1,0
230040,Aiuaba,04/2021,770,66,-704,1,1,0,1,1,0,0,0,0
230040,Aiuaba,04/2022,781,76,-705,0,0,0,4,4,0,-4,-4,0
230040,Aiuaba,04/2023,779,74,-705,1,1,0,2,2,0,-1,-1,0
230040,Aiuaba,04/2024,790,84,-706,9,9,0,2,2,0,7,7,0
230040,Aiuaba,04/2025,788,80,-708,2,2,0,1,1,0,1,1,0
230040,Aiuaba,05/2020,764,61,-703,0,0,0,0,0,0,0,0,0
230040,Aiuaba,05/2021,771,67,-704,2,2,0,1,1,0,1,1,0
230040,Aiuaba,05/2022,784,79,-705,4,4,0,1,1,0,3,3,0
230040,Aiuaba,05/2023,776,71,-705,1,1,0,4,4,0,-3,-3,0
230040,Aiuaba,05/2024,791,85,-706,2,2,0,1,1,0,1,1,0
230040,Aiuaba,05/2025,787,79,-708,1,1,0,2,2,0,-1,-1,0
230040,Aiuaba,06/2020,765,62,-703,1,1,0,0,0,0,1,1,0
230040,Aiuaba,06/2021,771,67,-704,1,1,0,1,1,0,0,0,0
